participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.treatment,player.contribution,player.signal,player.potential_payoff,player.payoff,group.id_in_subsession,group.total_contribution,group.individual_share,group.efficiency_rate,subsession.round_number,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,a2gd4wt8,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.691747+00:00,0,1,,,1,3,4.00,1.15,18.35,0.00,1,13.00,12.35,0.95,1,1v128z8l,,,,,,,,0
2,7lmsy7wo,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.709549+00:00,0,1,,,2,3,1.00,1.15,21.35,0.00,1,13.00,12.35,0.95,1,1v128z8l,,,,,,,,0
3,kc1idwvp,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.728940+00:00,0,1,,,3,3,7.00,1.15,15.35,0.00,1,13.00,12.35,0.95,1,1v128z8l,,,,,,,,0
4,0zs6vg11,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.747106+00:00,0,1,,,4,3,1.00,0.75,21.35,0.00,1,13.00,12.35,0.95,1,1v128z8l,,,,,,,,0
5,dmllut7r,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.765556+00:00,0,1,,,1,3,6.00,1.15,22.05,0.00,2,19.00,18.05,0.95,1,1v128z8l,,,,,,,,0
6,0ed2tqmi,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.783205+00:00,0,1,,,2,3,2.00,0.95,26.05,0.00,2,19.00,18.05,0.95,1,1v128z8l,,,,,,,,0
7,0bp4d6ez,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.806379+00:00,0,1,,,3,3,8.00,1.15,20.05,0.00,2,19.00,18.05,0.95,1,1v128z8l,,,,,,,,0
8,nq3msc58,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.830191+00:00,0,1,,,4,3,3.00,0.75,25.05,0.00,2,19.00,18.05,0.95,1,1v128z8l,,,,,,,,0
9,ir3o2b48,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.852455+00:00,0,1,,,1,3,0.00,0.25,15.00,0.00,3,20.00,5.00,0.25,1,1v128z8l,,,,,,,,0
10,5ichhh8s,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.870846+00:00,0,1,,,2,3,7.00,0.45,8.00,0.00,3,20.00,5.00,0.25,1,1v128z8l,,,,,,,,0
11,cfd9t4lw,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.891016+00:00,0,1,,,3,3,8.00,0.45,7.00,0.00,3,20.00,5.00,0.25,1,1v128z8l,,,,,,,,0
12,nz7d3ien,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.912706+00:00,0,1,,,4,3,5.00,0.15,10.00,0.00,3,20.00,5.00,0.25,1,1v128z8l,,,,,,,,0
13,kiuk9bmv,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.930778+00:00,0,1,,,1,3,9.00,0.85,24.75,0.00,4,25.00,23.75,0.95,1,1v128z8l,,,,,,,,0
