participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.treatment,player.contribution,player.signal,player.hypothetical_points,player.points,player.payoff,group.id_in_subsession,group.total_contribution,group.individual_share,group.efficiency_rate,subsession.round_number,subsession.paying_game,subsession.game_number,subsession.game_round,subsession.mpcr_order,subsession.varied_mpcr_game,subsession.treatment,subsession.signalVariance,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,dywzy2qf,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-11 21:30:33.806252+00:00,0,1,,,1,3,7.00,0.25,8.75,0.00,0.00,1,23.00,5.75,0.25,1,0,1,1,4,0,3,2,62f00v71,,,,,,,,0
2,gat21p7t,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-11 21:30:33.826824+00:00,0,1,,,2,3,8.00,0.45,7.75,0.00,0.00,1,23.00,5.75,0.25,1,0,1,1,4,0,3,2,62f00v71,,,,,,,,0
3,57io6xzm,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-11 21:30:33.846290+00:00,0,1,,,3,3,4.00,0.25,11.75,0.00,0.00,1,23.00,5.75,0.25,1,0,1,1,4,0,3,2,62f00v71,,,,,,,,0
4,mgxpmc3c,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-11 21:30:33.867622+00:00,0,1,,,4,3,4.00,0.35,11.75,0.00,0.00,1,23.00,5.75,0.25,1,0,1,1,4,0,3,2,62f00v71,,,,,,,,0
5,ir0dmv92,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-11 21:30:33.888110+00:00,0,1,,,1,3,10.00,0.25,6.00,0.00,0.00,2,24.00,6.00,0.25,1,0,1,1,4,0,3,2,62f00v71,,,,,,,,0
6,o2ovn95p,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-11 21:30:33.911408+00:00,0,1,,,2,3,3.00,0.35,13.00,0.00,0.00,2,24.00,6.00,0.25,1,0,1,1,4,0,3,2,62f00v71,,,,,,,,0
7,r7fatehv,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-11 21:30:33.931364+00:00,0,1,,,3,3,7.00,0.15,9.00,0.00,0.00,2,24.00,6.00,0.25,1,0,1,1,4,0,3,2,62f00v71,,,,,,,,0
8,pumsp3pf,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-11 21:30:33.950824+00:00,0,1,,,4,3,4.00,0.25,12.00,0.00,0.00,2,24.00,6.00,0.25,1,0,1,1,4,0,3,2,62f00v71,,,,,,,,0
9,mjstq08d,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-11 21:30:33.970391+00:00,0,1,,,1,3,1.00,0.35,14.25,0.00,0.00,3,21.00,5.25,0.25,1,0,1,1,4,0,3,2,62f00v71,,,,,,,,0
10,wr0xafr2,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-11 21:30:33.989669+00:00,0,1,,,2,3,0.00,0.05,15.25,0.00,0.00,3,21.00,5.25,0.25,1,0,1,1,4,0,3,2,62f00v71,,,,,,,,0
