participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.treatment,player.contribution,player.signal,player.hypothetical_points,player.payoff,group.id_in_subsession,group.total_contribution,group.individual_share,group.efficiency_rate,subsession.round_number,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,ihcc9pv5,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 15:42:54.398254+00:00,0,1,,,1,3,5.00,0.45,8.25,0.00,1,13.00,3.25,0.25,1,ywj8s98o,,,,,,,,0
2,1af9pjad,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 15:42:54.413824+00:00,0,1,,,2,3,6.00,0.05,7.25,0.00,1,13.00,3.25,0.25,1,ywj8s98o,,,,,,,,0
3,yiq2p29g,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 15:42:54.427932+00:00,0,1,,,3,3,2.00,0.45,11.25,0.00,1,13.00,3.25,0.25,1,ywj8s98o,,,,,,,,0
4,ic55yfis,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 15:42:54.441928+00:00,0,1,,,4,3,0.00,0.15,13.25,0.00,1,13.00,3.25,0.25,1,ywj8s98o,,,,,,,,0
5,r9hdznpd,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 15:42:54.455934+00:00,0,1,,,1,3,0.00,0.45,17.15,0.00,2,13.00,7.15,0.55,1,ywj8s98o,,,,,,,,0
6,ma0aqrif,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 15:42:54.470187+00:00,0,1,,,2,3,4.00,0.55,13.15,0.00,2,13.00,7.15,0.55,1,ywj8s98o,,,,,,,,0
7,jwzd0ss5,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 15:42:54.484933+00:00,0,1,,,3,3,5.00,0.45,12.15,0.00,2,13.00,7.15,0.55,1,ywj8s98o,,,,,,,,0
8,fne9432s,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 15:42:54.499443+00:00,0,1,,,4,3,4.00,0.45,13.15,0.00,2,13.00,7.15,0.55,1,ywj8s98o,,,,,,,,0
9,om5bu5gl,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 15:42:54.513748+00:00,0,1,,,1,3,6.00,1.05,25.85,0.00,3,23.00,21.85,0.95,1,ywj8s98o,,,,,,,,0
10,b6q0ne2t,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 15:42:54.527815+00:00,0,1,,,2,3,3.00,1.05,28.85,0.00,3,23.00,21.85,0.95,1,ywj8s98o,,,,,,,,0
11,yne3y5ay,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 15:42:54.543144+00:00,0,1,,,3,3,7.00,0.75,24.85,0.00,3,23.00,21.85,0.95,1,ywj8s98o,,,,,,,,0
12,p7i5ibfb,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 15:42:54.858887+00:00,0,1,,,4,3,7.00,0.95,24.85,0.00,3,23.00,21.85,0.95,1,ywj8s98o,,,,,,,,0
13,hw4c6ifo,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 15:42:54.873324+00:00,0,1,,,1,3,1.00,0.55,19.45,0.00,4,19.00,10.45,0.55,1,ywj8s98o,,,,,,,,0
14,tnws2zkn,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 15:42:54.887610+00:00,0,1,,,2,3,7.00,0.45,13.45,0.00,4,19.00,10.45,0.55,1,ywj8s98o,,,,,,,,0
15,v5d8ntkn,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 15:42:54.902137+00:00,0,1,,,3,3,2.00,0.35,18.45,0.00,4,19.00,10.45,0.55,1,ywj8s98o,,,,,,,,0
16,u9g60rdf,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 15:42:54.916548+00:00,0,1,,,4,3,9.00,0.45,11.45,0.00,4,19.00,10.45,0.55,1,ywj8s98o,,,,,,,,0
1,ihcc9pv5,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 15:42:54.398254+00:00,0,1,,,1,3,3.00,0.45,14.70,0.00,1,14.00,7.70,0.55,2,ywj8s98o,,,,,,,,0
2,1af9pjad,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 15:42:54.413824+00:00,0,1,,,2,3,3.00,0.75,14.70,0.00,1,14.00,7.70,0.55,2,ywj8s98o,,,,,,,,0
3,yiq2p29g,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 15:42:54.427932+00:00,0,1,,,3,3,6.00,0.65,11.70,0.00,1,14.00,7.70,0.55,2,ywj8s98o,,,,,,,,0
4,ic55yfis,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 15:42:54.441928+00:00,0,1,,,4,3,2.00,0.65,15.70,0.00,1,14.00,7.70,0.55,2,ywj8s98o,,,,,,,,0
5,r9hdznpd,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 15:42:54.455934+00:00,0,1,,,1,3,1.00,0.05,11.00,0.00,2,8.00,2.00,0.25,2,ywj8s98o,,,,,,,,0
6,ma0aqrif,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 15:42:54.470187+00:00,0,1,,,2,3,3.00,0.05,9.00,0.00,2,8.00,2.00,0.25,2,ywj8s98o,,,,,,,,0
7,jwzd0ss5,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 15:42:54.484933+00:00,0,1,,,3,3,0.00,0.35,12.00,0.00,2,8.00,2.00,0.25,2,ywj8s98o,,,,,,,,0
8,fne9432s,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 15:42:54.499443+00:00,0,1,,,4,3,4.00,0.45,8.00,0.00,2,8.00,2.00,0.25,2,ywj8s98o,,,,,,,,0
