participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.q_race,player.q_age,player.q_gender,player.q_education,player.q_household,player.q_gpa,player.q_professional,player.q_decision,player.q_comments,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,svmk2646,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.658391+00:00,0,1,,,1,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,ol91bo8g,,,,,,,,0
2,uc7o4q70,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.673678+00:00,0,1,,,2,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,ol91bo8g,,,,,,,,0
3,grkvuavy,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.687613+00:00,0,1,,,3,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,ol91bo8g,,,,,,,,0
4,ony2ei2u,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.701693+00:00,0,1,,,4,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,ol91bo8g,,,,,,,,0
5,s4w1wtig,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.716116+00:00,0,1,,,5,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,ol91bo8g,,,,,,,,0
6,kkwfq8rf,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.730331+00:00,0,1,,,6,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,ol91bo8g,,,,,,,,0
7,snungks9,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.744319+00:00,0,1,,,7,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,ol91bo8g,,,,,,,,0
8,c7lkisia,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.758235+00:00,0,1,,,8,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,ol91bo8g,,,,,,,,0
9,ydn4gnu6,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.772309+00:00,0,1,,,9,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,ol91bo8g,,,,,,,,0
10,3eowy5mx,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.786158+00:00,0,1,,,10,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,ol91bo8g,,,,,,,,0
11,7a2hqrzd,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.800159+00:00,0,1,,,11,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,ol91bo8g,,,,,,,,0
12,dt16a83h,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.814471+00:00,0,1,,,12,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,ol91bo8g,,,,,,,,0
13,givpg9ul,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.831714+00:00,0,1,,,13,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,ol91bo8g,,,,,,,,0
14,vf5s5n55,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.846186+00:00,0,1,,,14,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,ol91bo8g,,,,,,,,0
15,5ydkohrq,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.860203+00:00,0,1,,,15,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,ol91bo8g,,,,,,,,0
16,mbzomjf9,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.874061+00:00,0,1,,,16,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,ol91bo8g,,,,,,,,0
