participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.treatment,player.contribution,player.signal,player.hypothetical_points,player.points,player.payoff,group.id_in_subsession,group.total_contribution,group.individual_share,group.efficiency_rate,subsession.round_number,subsession.paying_game,subsession.game_number,subsession.game_round,subsession.mpcr_order,subsession.varied_mpcr_game,subsession.treatment,subsession.signalVariance,subsession.app_label,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,sdrdozex,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.748992+00:00,0,1,,,1,3,8.00,0.45,5.75,0.00,0.00,1,15.00,3.75,0.25,1,0,1,1,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
2,fw6e50sn,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.768177+00:00,0,1,,,2,3,3.00,0.45,10.75,0.00,0.00,1,15.00,3.75,0.25,1,0,1,1,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
3,t9mvb0cm,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.786095+00:00,0,1,,,3,3,2.00,0.05,11.75,0.00,0.00,1,15.00,3.75,0.25,1,0,1,1,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
4,ub5kui5u,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.803215+00:00,0,1,,,4,3,2.00,0.05,11.75,0.00,0.00,1,15.00,3.75,0.25,1,0,1,1,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
5,a0e2ek68,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.819594+00:00,0,1,,,1,3,2.00,0.45,12.00,0.00,0.00,2,16.00,4.00,0.25,1,0,1,1,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
6,e5oalnlk,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.836823+00:00,0,1,,,2,3,9.00,0.15,5.00,0.00,0.00,2,16.00,4.00,0.25,1,0,1,1,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
7,jblu8pfl,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.853383+00:00,0,1,,,3,3,4.00,0.15,10.00,0.00,0.00,2,16.00,4.00,0.25,1,0,1,1,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
8,mpvjegwc,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.870620+00:00,0,1,,,4,3,1.00,0.15,13.00,0.00,0.00,2,16.00,4.00,0.25,1,0,1,1,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
9,3alhq3r1,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.886785+00:00,0,1,,,1,3,9.00,0.25,7.75,0.00,0.00,3,27.00,6.75,0.25,1,0,1,1,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
10,wdnomcdu,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.903891+00:00,0,1,,,2,3,9.00,0.25,7.75,0.00,0.00,3,27.00,6.75,0.25,1,0,1,1,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
11,32naiyxs,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.920295+00:00,0,1,,,3,3,5.00,0.05,11.75,0.00,0.00,3,27.00,6.75,0.25,1,0,1,1,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
12,6qn4uowz,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.937922+00:00,0,1,,,4,3,4.00,0.25,12.75,0.00,0.00,3,27.00,6.75,0.25,1,0,1,1,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
13,pjoom36s,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.953618+00:00,0,1,,,1,3,1.00,0.05,14.50,0.00,0.00,4,22.00,5.50,0.25,1,0,1,1,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
14,4ohu6fdf,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.969639+00:00,0,1,,,2,3,9.00,0.25,6.50,0.00,0.00,4,22.00,5.50,0.25,1,0,1,1,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
15,ease0o36,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.986547+00:00,0,1,,,3,3,2.00,0.45,13.50,0.00,0.00,4,22.00,5.50,0.25,1,0,1,1,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
16,iznfa7f1,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:36.002445+00:00,0,1,,,4,3,10.00,0.25,5.50,0.00,0.00,4,22.00,5.50,0.25,1,0,1,1,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
1,sdrdozex,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.748992+00:00,0,1,,,1,3,2.00,0.45,11.50,0.00,0.00,1,14.00,3.50,0.25,2,0,1,2,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
2,fw6e50sn,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.768177+00:00,0,1,,,2,3,3.00,0.45,10.50,0.00,0.00,1,14.00,3.50,0.25,2,0,1,2,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
3,t9mvb0cm,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.786095+00:00,0,1,,,3,3,0.00,0.05,13.50,0.00,0.00,1,14.00,3.50,0.25,2,0,1,2,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
4,ub5kui5u,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.803215+00:00,0,1,,,4,3,9.00,0.05,4.50,0.00,0.00,1,14.00,3.50,0.25,2,0,1,2,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
5,a0e2ek68,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.819594+00:00,0,1,,,1,3,10.00,0.45,5.75,0.00,0.00,2,23.00,5.75,0.25,2,0,1,2,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
6,e5oalnlk,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.836823+00:00,0,1,,,2,3,5.00,0.15,10.75,0.00,0.00,2,23.00,5.75,0.25,2,0,1,2,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
7,jblu8pfl,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.853383+00:00,0,1,,,3,3,6.00,0.15,9.75,0.00,0.00,2,23.00,5.75,0.25,2,0,1,2,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
8,mpvjegwc,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.870620+00:00,0,1,,,4,3,2.00,0.15,13.75,0.00,0.00,2,23.00,5.75,0.25,2,0,1,2,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
9,3alhq3r1,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.886785+00:00,0,1,,,1,3,4.00,0.25,12.00,0.00,0.00,3,24.00,6.00,0.25,2,0,1,2,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
10,wdnomcdu,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.903891+00:00,0,1,,,2,3,3.00,0.25,13.00,0.00,0.00,3,24.00,6.00,0.25,2,0,1,2,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
11,32naiyxs,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.920295+00:00,0,1,,,3,3,7.00,0.05,9.00,0.00,0.00,3,24.00,6.00,0.25,2,0,1,2,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
12,6qn4uowz,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.937922+00:00,0,1,,,4,3,10.00,0.25,6.00,0.00,0.00,3,24.00,6.00,0.25,2,0,1,2,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
13,pjoom36s,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.953618+00:00,0,1,,,1,3,10.00,0.05,6.00,0.00,0.00,4,24.00,6.00,0.25,2,0,1,2,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
14,4ohu6fdf,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.969639+00:00,0,1,,,2,3,1.00,0.25,15.00,0.00,0.00,4,24.00,6.00,0.25,2,0,1,2,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
15,ease0o36,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.986547+00:00,0,1,,,3,3,8.00,0.45,8.00,0.00,0.00,4,24.00,6.00,0.25,2,0,1,2,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
16,iznfa7f1,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:36.002445+00:00,0,1,,,4,3,5.00,0.25,11.00,0.00,0.00,4,24.00,6.00,0.25,2,0,1,2,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
1,sdrdozex,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.748992+00:00,0,1,,,1,3,3.00,0.45,10.00,0.00,0.00,1,12.00,3.00,0.25,3,0,1,3,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
2,fw6e50sn,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.768177+00:00,0,1,,,2,3,1.00,0.45,12.00,0.00,0.00,1,12.00,3.00,0.25,3,0,1,3,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
3,t9mvb0cm,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.786095+00:00,0,1,,,3,3,8.00,0.05,5.00,0.00,0.00,1,12.00,3.00,0.25,3,0,1,3,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
4,ub5kui5u,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.803215+00:00,0,1,,,4,3,0.00,0.05,13.00,0.00,0.00,1,12.00,3.00,0.25,3,0,1,3,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
5,a0e2ek68,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.819594+00:00,0,1,,,1,3,3.00,0.45,13.75,0.00,0.00,2,27.00,6.75,0.25,3,0,1,3,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
6,e5oalnlk,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.836823+00:00,0,1,,,2,3,9.00,0.15,7.75,0.00,0.00,2,27.00,6.75,0.25,3,0,1,3,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
7,jblu8pfl,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.853383+00:00,0,1,,,3,3,6.00,0.15,10.75,0.00,0.00,2,27.00,6.75,0.25,3,0,1,3,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
8,mpvjegwc,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.870620+00:00,0,1,,,4,3,9.00,0.15,7.75,0.00,0.00,2,27.00,6.75,0.25,3,0,1,3,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
9,3alhq3r1,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.886785+00:00,0,1,,,1,3,10.00,0.25,4.50,0.00,0.00,3,18.00,4.50,0.25,3,0,1,3,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
10,wdnomcdu,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.903891+00:00,0,1,,,2,3,3.00,0.25,11.50,0.00,0.00,3,18.00,4.50,0.25,3,0,1,3,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
11,32naiyxs,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.920295+00:00,0,1,,,3,3,2.00,0.05,12.50,0.00,0.00,3,18.00,4.50,0.25,3,0,1,3,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
12,6qn4uowz,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.937922+00:00,0,1,,,4,3,3.00,0.25,11.50,0.00,0.00,3,18.00,4.50,0.25,3,0,1,3,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
13,pjoom36s,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.953618+00:00,0,1,,,1,3,10.00,0.05,4.00,0.00,0.00,4,16.00,4.00,0.25,3,0,1,3,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
14,4ohu6fdf,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.969639+00:00,0,1,,,2,3,5.00,0.25,9.00,0.00,0.00,4,16.00,4.00,0.25,3,0,1,3,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
15,ease0o36,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.986547+00:00,0,1,,,3,3,1.00,0.45,13.00,0.00,0.00,4,16.00,4.00,0.25,3,0,1,3,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
16,iznfa7f1,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:36.002445+00:00,0,1,,,4,3,0.00,0.25,14.00,0.00,0.00,4,16.00,4.00,0.25,3,0,1,3,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
1,sdrdozex,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.748992+00:00,0,1,,,1,3,5.00,0.45,10.50,0.00,0.00,1,22.00,5.50,0.25,4,0,1,4,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
2,fw6e50sn,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.768177+00:00,0,1,,,2,3,8.00,0.45,7.50,0.00,0.00,1,22.00,5.50,0.25,4,0,1,4,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
3,t9mvb0cm,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.786095+00:00,0,1,,,3,3,8.00,0.05,7.50,0.00,0.00,1,22.00,5.50,0.25,4,0,1,4,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
4,ub5kui5u,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.803215+00:00,0,1,,,4,3,1.00,0.05,14.50,0.00,0.00,1,22.00,5.50,0.25,4,0,1,4,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
5,a0e2ek68,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.819594+00:00,0,1,,,1,3,6.00,0.45,8.00,0.00,0.00,2,16.00,4.00,0.25,4,0,1,4,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
6,e5oalnlk,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.836823+00:00,0,1,,,2,3,2.00,0.15,12.00,0.00,0.00,2,16.00,4.00,0.25,4,0,1,4,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
7,jblu8pfl,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.853383+00:00,0,1,,,3,3,2.00,0.15,12.00,0.00,0.00,2,16.00,4.00,0.25,4,0,1,4,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
8,mpvjegwc,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.870620+00:00,0,1,,,4,3,6.00,0.15,8.00,0.00,0.00,2,16.00,4.00,0.25,4,0,1,4,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
9,3alhq3r1,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.886785+00:00,0,1,,,1,3,4.00,0.25,11.75,0.00,0.00,3,23.00,5.75,0.25,4,0,1,4,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
10,wdnomcdu,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.903891+00:00,0,1,,,2,3,6.00,0.25,9.75,0.00,0.00,3,23.00,5.75,0.25,4,0,1,4,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
11,32naiyxs,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.920295+00:00,0,1,,,3,3,7.00,0.05,8.75,0.00,0.00,3,23.00,5.75,0.25,4,0,1,4,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
12,6qn4uowz,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.937922+00:00,0,1,,,4,3,6.00,0.25,9.75,0.00,0.00,3,23.00,5.75,0.25,4,0,1,4,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
13,pjoom36s,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 20:50:35.953618+00:00,0,1,,,1,3,8.00,0.05,5.75,0.00,0.00,4,15.00,3.75,0.25,4,0,1,4,4,0,3,2,public_goods,x12ofacs,,,,,,,,0
