participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.treatment,player.contribution,player.signal,player.round_points,player.points,player.payoff,group.id_in_subsession,group.total_contribution,group.individual_share,group.efficiency_rate,subsession.round_number,subsession.paying_game,subsession.game_number,subsession.game_round,subsession.mpcr_order,subsession.variable_mpcr_game,subsession.fixed_mpcr_game,subsession.treatment,subsession.signalVariance,subsession.app_label,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,wjddc53u,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.634812+00:00,0,1,,,1,3,4.00,1.05,27.85,0.00,0.00,1,23.00,21.85,0.95,1,0,1,1,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
2,tpnl3utb,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.656444+00:00,0,1,,,2,3,9.00,1.05,22.85,0.00,0.00,1,23.00,21.85,0.95,1,0,1,1,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
3,84r5ikez,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.678671+00:00,0,1,,,3,3,7.00,1.05,24.85,0.00,0.00,1,23.00,21.85,0.95,1,0,1,1,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
4,vohi22an,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.699226+00:00,0,1,,,4,3,3.00,0.85,28.85,0.00,0.00,1,23.00,21.85,0.95,1,0,1,1,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
5,t3cv1spd,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.720389+00:00,0,1,,,1,3,6.00,1.15,14.45,0.00,0.00,2,11.00,10.45,0.95,1,0,1,1,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
6,0epaoca5,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.749538+00:00,0,1,,,2,3,0.00,0.95,20.45,0.00,0.00,2,11.00,10.45,0.95,1,0,1,1,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
7,1zki37c6,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.772848+00:00,0,1,,,3,3,5.00,0.85,15.45,0.00,0.00,2,11.00,10.45,0.95,1,0,1,1,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
8,67u964fi,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.794006+00:00,0,1,,,4,3,0.00,0.85,20.45,0.00,0.00,2,11.00,10.45,0.95,1,0,1,1,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
9,7i26z53h,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.816016+00:00,0,1,,,1,3,9.00,1.15,29.50,0.00,0.00,3,30.00,28.50,0.95,1,0,1,1,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
10,scek1yb0,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.837580+00:00,0,1,,,2,3,4.00,0.85,34.50,0.00,0.00,3,30.00,28.50,0.95,1,0,1,1,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
