participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.treatment,player.contribution,player.signal,player.round_points,player.points,player.payoff,group.id_in_subsession,group.total_contribution,group.individual_share,group.efficiency_rate,subsession.round_number,subsession.paying_game,subsession.game_number,subsession.game_round,subsession.mpcr_order,subsession.variable_mpcr_game,subsession.fixed_mpcr_game,subsession.treatment,subsession.app_label,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,8ipg16a0,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 00:39:31.004339+00:00,0,1,,,1,2,0.00,1.15,24.25,24.25,1.21,1,15.00,14.25,0.95,1,1,1,1,2,0,3,4,public_goods,4lp3gjkr,,,,,,,,0
2,z9p4rgyg,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 00:39:31.101762+00:00,0,1,,,2,2,2.00,0.75,22.25,22.25,1.11,1,15.00,14.25,0.95,1,1,1,1,2,0,3,4,public_goods,4lp3gjkr,,,,,,,,0
3,6k44e0at,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 00:39:31.140131+00:00,0,1,,,3,2,8.00,0.75,16.25,16.25,0.81,1,15.00,14.25,0.95,1,1,1,1,2,0,3,4,public_goods,4lp3gjkr,,,,,,,,0
4,563ccush,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 00:39:31.173845+00:00,0,1,,,4,2,5.00,0.75,19.25,19.25,0.96,1,15.00,14.25,0.95,1,1,1,1,2,0,3,4,public_goods,4lp3gjkr,,,,,,,,0
5,xikdd9ko,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 00:39:31.213855+00:00,0,1,,,1,2,2.00,0.75,24.15,24.15,1.21,2,17.00,16.15,0.95,1,1,1,1,2,0,3,4,public_goods,4lp3gjkr,,,,,,,,0
6,81442h6q,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 00:39:31.251339+00:00,0,1,,,2,2,6.00,0.95,20.15,20.15,1.01,2,17.00,16.15,0.95,1,1,1,1,2,0,3,4,public_goods,4lp3gjkr,,,,,,,,0
7,fhe3kfbp,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 00:39:31.288277+00:00,0,1,,,3,2,6.00,1.05,20.15,20.15,1.01,2,17.00,16.15,0.95,1,1,1,1,2,0,3,4,public_goods,4lp3gjkr,,,,,,,,0
8,yunn6aiv,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 00:39:31.326159+00:00,0,1,,,4,2,3.00,1.15,23.15,23.15,1.16,2,17.00,16.15,0.95,1,1,1,1,2,0,3,4,public_goods,4lp3gjkr,,,,,,,,0
9,0wuli0er,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 00:39:31.362396+00:00,0,1,,,1,2,4.00,1.15,26.90,26.90,1.35,3,22.00,20.90,0.95,1,1,1,1,2,0,3,4,public_goods,4lp3gjkr,,,,,,,,0
10,mf73bp7p,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 00:39:31.403127+00:00,0,1,,,2,2,6.00,0.85,24.90,24.90,1.25,3,22.00,20.90,0.95,1,1,1,1,2,0,3,4,public_goods,4lp3gjkr,,,,,,,,0
