participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.risk_points,player.risk_flip,player.risk_choice,player.risk_payoff,player.amb_chosen_game,player.amb_chosen_ball,player.amb_payoff,player.amb_points,player.amb_choice1_urn,player.amb_choice1_color,player.amb_choice2_urn,player.amb_choice2_color,player.amb_choice3_urn,player.amb_choice3_color,player.amb_choice4_urn,player.amb_choice4_color,player.amb_choice5_urn,player.amb_choice5_color,player.amb_choice6_urn,player.amb_choice6_color,player.amb_choice7_urn,player.amb_choice7_color,player.amb_choice8_urn,player.amb_choice8_color,player.amb_choice9_urn,player.amb_choice9_color,player.amb_choice10_urn,player.amb_choice10_color,player.payoff,group.id_in_subsession,subsession.round_number,subsession.app_label,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,61rt85kk,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:32:46.587925+00:00,0,1,,,1,28.00,1,3,1.40,5,0,5.00,100.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.40,1,1,risk,3syq0vf6,,,,,,,,0
2,qky2f0w1,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:32:46.621526+00:00,0,1,,,2,52.00,0,3,2.60,5,0,5.00,100.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.60,1,1,risk,3syq0vf6,,,,,,,,0
3,je7zugen,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:32:46.635715+00:00,0,1,,,3,52.00,0,3,2.60,3,1,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60,1,1,risk,3syq0vf6,,,,,,,,0
4,dvtjo239,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:32:46.650044+00:00,0,1,,,4,52.00,0,3,2.60,8,0,5.00,100.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.60,1,1,risk,3syq0vf6,,,,,,,,0
5,mz4d6g2x,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:32:46.664863+00:00,0,1,,,5,28.00,1,3,1.40,8,0,5.00,100.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.40,1,1,risk,3syq0vf6,,,,,,,,0
6,j8tz9bcn,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:32:46.679147+00:00,0,1,,,6,52.00,0,3,2.60,4,0,5.00,100.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.60,1,1,risk,3syq0vf6,,,,,,,,0
7,cp6fc4a1,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:32:46.694974+00:00,0,1,,,7,52.00,0,3,2.60,7,1,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60,1,1,risk,3syq0vf6,,,,,,,,0
8,lyapeaz7,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:32:46.710249+00:00,0,1,,,8,52.00,0,3,2.60,8,0,5.00,100.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.60,1,1,risk,3syq0vf6,,,,,,,,0
9,w4xw2ua8,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:32:46.724429+00:00,0,1,,,9,28.00,1,3,1.40,8,1,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40,1,1,risk,3syq0vf6,,,,,,,,0
10,owpnsoxq,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:32:46.738437+00:00,0,1,,,10,52.00,0,3,2.60,5,1,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60,1,1,risk,3syq0vf6,,,,,,,,0
