participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.q_race,player.q_age,player.q_gender,player.q_education,player.q_household,player.q_gpa,player.q_professional,player.q_decision,player.q_comments,player.payoff,group.id_in_subsession,subsession.round_number,subsession.app_label,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,61rt85kk,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:32:46.587925+00:00,0,1,,,1,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,survey,3syq0vf6,,,,,,,,0
2,qky2f0w1,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:32:46.621526+00:00,0,1,,,2,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,survey,3syq0vf6,,,,,,,,0
3,je7zugen,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:32:46.635715+00:00,0,1,,,3,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,survey,3syq0vf6,,,,,,,,0
4,dvtjo239,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:32:46.650044+00:00,0,1,,,4,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,survey,3syq0vf6,,,,,,,,0
5,mz4d6g2x,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:32:46.664863+00:00,0,1,,,5,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,survey,3syq0vf6,,,,,,,,0
6,j8tz9bcn,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:32:46.679147+00:00,0,1,,,6,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,survey,3syq0vf6,,,,,,,,0
7,cp6fc4a1,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:32:46.694974+00:00,0,1,,,7,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,survey,3syq0vf6,,,,,,,,0
8,lyapeaz7,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:32:46.710249+00:00,0,1,,,8,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,survey,3syq0vf6,,,,,,,,0
9,w4xw2ua8,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:32:46.724429+00:00,0,1,,,9,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,survey,3syq0vf6,,,,,,,,0
10,owpnsoxq,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:32:46.738437+00:00,0,1,,,10,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,survey,3syq0vf6,,,,,,,,0
11,hfszxryu,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:32:46.752462+00:00,0,1,,,11,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,survey,3syq0vf6,,,,,,,,0
12,rzglyme1,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:32:46.766698+00:00,0,1,,,12,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,survey,3syq0vf6,,,,,,,,0
13,0h0s4ufy,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:32:46.780789+00:00,0,1,,,13,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,survey,3syq0vf6,,,,,,,,0
14,jln4l9yl,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:32:46.794709+00:00,0,1,,,14,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,survey,3syq0vf6,,,,,,,,0
15,4jdqhj1f,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:32:46.808779+00:00,0,1,,,15,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,survey,3syq0vf6,,,,,,,,0
16,nmbq5g6n,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:32:46.823038+00:00,0,1,,,16,White,27,Male,Bacheler's degree,,2.1,Employed for wages,Close my eyes,Great programming,0.00,1,1,survey,3syq0vf6,,,,,,,,0
