participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.treatment,player.contribution,player.signal,player.round_points,player.points,player.payoff,group.id_in_subsession,group.total_contribution,group.individual_share,group.efficiency_rate,subsession.round_number,subsession.paying_game,subsession.game_number,subsession.game_round,subsession.mpcr_order,subsession.variable_mpcr_game,subsession.fixed_mpcr_game,subsession.treatment,subsession.app_label,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,9149lsj5,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.716524+00:00,0,1,,,1,3,8.00,0.85,24.80,0.00,0.00,1,24.00,22.80,0.95,1,0,1,1,2,0,3,5,public_goods,b1n8pl1s,,,,,,,,0
2,7is5fg31,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.732465+00:00,0,1,,,2,3,7.00,0.75,25.80,0.00,0.00,1,24.00,22.80,0.95,1,0,1,1,2,0,3,5,public_goods,b1n8pl1s,,,,,,,,0
3,3etu3h1d,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.746619+00:00,0,1,,,3,3,3.00,0.75,29.80,0.00,0.00,1,24.00,22.80,0.95,1,0,1,1,2,0,3,5,public_goods,b1n8pl1s,,,,,,,,0
4,qj0n8xqo,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.760922+00:00,0,1,,,4,3,6.00,0.75,26.80,0.00,0.00,1,24.00,22.80,0.95,1,0,1,1,2,0,3,5,public_goods,b1n8pl1s,,,,,,,,0
5,sa60vwaj,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.775393+00:00,0,1,,,1,3,7.00,1.15,27.70,0.00,0.00,2,26.00,24.70,0.95,1,0,1,1,2,0,3,5,public_goods,b1n8pl1s,,,,,,,,0
6,0awp4nkq,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.790271+00:00,0,1,,,2,3,5.00,0.85,29.70,0.00,0.00,2,26.00,24.70,0.95,1,0,1,1,2,0,3,5,public_goods,b1n8pl1s,,,,,,,,0
7,vnzp9sdo,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.805213+00:00,0,1,,,3,3,8.00,1.15,26.70,0.00,0.00,2,26.00,24.70,0.95,1,0,1,1,2,0,3,5,public_goods,b1n8pl1s,,,,,,,,0
8,wy6xlwky,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.821368+00:00,0,1,,,4,3,6.00,0.95,28.70,0.00,0.00,2,26.00,24.70,0.95,1,0,1,1,2,0,3,5,public_goods,b1n8pl1s,,,,,,,,0
9,s7l98gpb,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.836142+00:00,0,1,,,1,3,1.00,1.05,22.30,0.00,0.00,3,14.00,13.30,0.95,1,0,1,1,2,0,3,5,public_goods,b1n8pl1s,,,,,,,,0
10,ez0x3ub9,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-02-07 16:01:33.850818+00:00,0,1,,,2,3,5.00,0.85,18.30,0.00,0.00,3,14.00,13.30,0.95,1,0,1,1,2,0,3,5,public_goods,b1n8pl1s,,,,,,,,0
