participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.treatment,player.contribution,player.signal,player.round_points,player.points,player.payoff,group.id_in_subsession,group.total_contribution,group.individual_share,group.efficiency_rate,subsession.round_number,subsession.paying_game,subsession.game_number,subsession.game_round,subsession.mpcr_order,subsession.variable_mpcr_game,subsession.fixed_mpcr_game,subsession.treatment,subsession.app_label,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,k8l0g500,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 15:11:35.974051+00:00,0,1,,,1,3,1.00,0.95,30.85,0.00,0.00,1,23.00,21.85,0.95,1,0,1,1,2,0,3,3,public_goods,cmdsil8r,,,,,,,,0
2,hmj5jmtu,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 15:11:36.008772+00:00,0,1,,,2,3,10.00,0.85,21.85,0.00,0.00,1,23.00,21.85,0.95,1,0,1,1,2,0,3,3,public_goods,cmdsil8r,,,,,,,,0
3,qbyqg2mo,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 15:11:36.024118+00:00,0,1,,,3,3,7.00,1.05,24.85,0.00,0.00,1,23.00,21.85,0.95,1,0,1,1,2,0,3,3,public_goods,cmdsil8r,,,,,,,,0
4,a8yqka23,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 15:11:36.038960+00:00,0,1,,,4,3,5.00,0.85,26.85,0.00,0.00,1,23.00,21.85,0.95,1,0,1,1,2,0,3,3,public_goods,cmdsil8r,,,,,,,,0
5,99ollie4,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 15:11:36.053473+00:00,0,1,,,1,3,2.00,0.95,25.10,0.00,0.00,2,18.00,17.10,0.95,1,0,1,1,2,0,3,3,public_goods,cmdsil8r,,,,,,,,0
6,tpplnj04,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 15:11:36.069522+00:00,0,1,,,2,3,5.00,0.85,22.10,0.00,0.00,2,18.00,17.10,0.95,1,0,1,1,2,0,3,3,public_goods,cmdsil8r,,,,,,,,0
7,frpan3en,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 15:11:36.085138+00:00,0,1,,,3,3,7.00,0.95,20.10,0.00,0.00,2,18.00,17.10,0.95,1,0,1,1,2,0,3,3,public_goods,cmdsil8r,,,,,,,,0
8,cet3muia,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 15:11:36.099477+00:00,0,1,,,4,3,4.00,0.85,23.10,0.00,0.00,2,18.00,17.10,0.95,1,0,1,1,2,0,3,3,public_goods,cmdsil8r,,,,,,,,0
9,3xplt0pm,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 15:11:36.113809+00:00,0,1,,,1,3,4.00,0.85,24.05,0.00,0.00,3,19.00,18.05,0.95,1,0,1,1,2,0,3,3,public_goods,cmdsil8r,,,,,,,,0
10,elp1zf6y,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 15:11:36.128390+00:00,0,1,,,2,3,3.00,0.85,25.05,0.00,0.00,3,19.00,18.05,0.95,1,0,1,1,2,0,3,3,public_goods,cmdsil8r,,,,,,,,0
11,jhz3vwyw,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 15:11:36.142384+00:00,0,1,,,3,3,9.00,0.85,19.05,0.00,0.00,3,19.00,18.05,0.95,1,0,1,1,2,0,3,3,public_goods,cmdsil8r,,,,,,,,0
12,nmxrvji8,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 15:11:36.159133+00:00,0,1,,,4,3,3.00,1.05,25.05,0.00,0.00,3,19.00,18.05,0.95,1,0,1,1,2,0,3,3,public_goods,cmdsil8r,,,,,,,,0
13,d2xv5ry2,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 15:11:36.174166+00:00,0,1,,,1,3,7.00,0.95,30.55,0.00,0.00,4,29.00,27.55,0.95,1,0,1,1,2,0,3,3,public_goods,cmdsil8r,,,,,,,,0
14,f1b3urfq,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 15:11:36.188616+00:00,0,1,,,2,3,10.00,1.05,27.55,0.00,0.00,4,29.00,27.55,0.95,1,0,1,1,2,0,3,3,public_goods,cmdsil8r,,,,,,,,0
15,koahqlyi,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 15:11:36.203746+00:00,0,1,,,3,3,10.00,0.95,27.55,0.00,0.00,4,29.00,27.55,0.95,1,0,1,1,2,0,3,3,public_goods,cmdsil8r,,,,,,,,0
16,xcw97003,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 15:11:36.217842+00:00,0,1,,,4,3,2.00,1.05,35.55,0.00,0.00,4,29.00,27.55,0.95,1,0,1,1,2,0,3,3,public_goods,cmdsil8r,,,,,,,,0
1,k8l0g500,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 15:11:35.974051+00:00,0,1,,,1,3,9.00,0.95,32.35,0.00,0.00,1,33.00,31.35,0.95,2,0,1,2,2,0,3,3,public_goods,cmdsil8r,,,,,,,,0
2,hmj5jmtu,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 15:11:36.008772+00:00,0,1,,,2,3,8.00,0.85,33.35,0.00,0.00,1,33.00,31.35,0.95,2,0,1,2,2,0,3,3,public_goods,cmdsil8r,,,,,,,,0
3,qbyqg2mo,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 15:11:36.024118+00:00,0,1,,,3,3,9.00,1.05,32.35,0.00,0.00,1,33.00,31.35,0.95,2,0,1,2,2,0,3,3,public_goods,cmdsil8r,,,,,,,,0
4,a8yqka23,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 15:11:36.038960+00:00,0,1,,,4,3,7.00,0.85,34.35,0.00,0.00,1,33.00,31.35,0.95,2,0,1,2,2,0,3,3,public_goods,cmdsil8r,,,,,,,,0
