participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.label,player.q_first_q1,player.q_first_q2,player.q_first_q3,player.q_first_q4,player.q_first_q5,player.q_first_q6,player.private_2_q1,player.private_2_q2,player.private_2_q3,player.private_2_q4,player.private_3_q1,player.private_3_q2,player.exact_2_q1,player.exact_3_q1,player.public_2_q1,player.public_2_q2,player.public_2_q3,player.public_2_q4,player.public_3_q1,player.public_3_q2,player.public_3_q3,player.private_wide_2_q1,player.private_wide_2_q2,player.private_wide_2_q3,player.private_wide_2_q4,player.private_wide_3_q1,player.private_wide_3_q2,player.public_wide_2_q1,player.public_wide_2_q2,player.public_wide_2_q3,player.public_wide_2_q4,player.public_wide_3_q1,player.public_wide_3_q2,player.public_wide_3_q3,player.payoff,group.id_in_subsession,subsession.round_number,subsession.app_label,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,k8l0g500,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 15:11:35.974051+00:00,0,1,,,1,,True,True,True,True,True,True,,,,,,,,,True,True,True,3,True,True,2,,,,,,,,,,,,,,0.00,1,1,quizes,cmdsil8r,,,,,,,,0
2,hmj5jmtu,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 15:11:36.008772+00:00,0,1,,,2,,True,True,True,True,True,True,,,,,,,,,True,True,True,3,True,True,2,,,,,,,,,,,,,,0.00,1,1,quizes,cmdsil8r,,,,,,,,0
3,qbyqg2mo,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 15:11:36.024118+00:00,0,1,,,3,,True,True,True,True,True,True,,,,,,,,,True,True,True,3,True,True,2,,,,,,,,,,,,,,0.00,1,1,quizes,cmdsil8r,,,,,,,,0
4,a8yqka23,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 15:11:36.038960+00:00,0,1,,,4,,True,True,True,True,True,True,,,,,,,,,True,True,True,3,True,True,2,,,,,,,,,,,,,,0.00,1,1,quizes,cmdsil8r,,,,,,,,0
5,99ollie4,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 15:11:36.053473+00:00,0,1,,,5,,True,True,True,True,True,True,,,,,,,,,True,True,True,3,True,True,2,,,,,,,,,,,,,,0.00,1,1,quizes,cmdsil8r,,,,,,,,0
6,tpplnj04,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 15:11:36.069522+00:00,0,1,,,6,,True,True,True,True,True,True,,,,,,,,,True,True,True,3,True,True,2,,,,,,,,,,,,,,0.00,1,1,quizes,cmdsil8r,,,,,,,,0
7,frpan3en,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 15:11:36.085138+00:00,0,1,,,7,,True,True,True,True,True,True,,,,,,,,,True,True,True,3,True,True,2,,,,,,,,,,,,,,0.00,1,1,quizes,cmdsil8r,,,,,,,,0
8,cet3muia,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 15:11:36.099477+00:00,0,1,,,8,,True,True,True,True,True,True,,,,,,,,,True,True,True,3,True,True,2,,,,,,,,,,,,,,0.00,1,1,quizes,cmdsil8r,,,,,,,,0
9,3xplt0pm,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 15:11:36.113809+00:00,0,1,,,9,,True,True,True,True,True,True,,,,,,,,,True,True,True,3,True,True,2,,,,,,,,,,,,,,0.00,1,1,quizes,cmdsil8r,,,,,,,,0
10,elp1zf6y,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 15:11:36.128390+00:00,0,1,,,10,,True,True,True,True,True,True,,,,,,,,,True,True,True,3,True,True,2,,,,,,,,,,,,,,0.00,1,1,quizes,cmdsil8r,,,,,,,,0
11,jhz3vwyw,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 15:11:36.142384+00:00,0,1,,,11,,True,True,True,True,True,True,,,,,,,,,True,True,True,3,True,True,2,,,,,,,,,,,,,,0.00,1,1,quizes,cmdsil8r,,,,,,,,0
12,nmxrvji8,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 15:11:36.159133+00:00,0,1,,,12,,True,True,True,True,True,True,,,,,,,,,True,True,True,3,True,True,2,,,,,,,,,,,,,,0.00,1,1,quizes,cmdsil8r,,,,,,,,0
13,d2xv5ry2,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 15:11:36.174166+00:00,0,1,,,13,,True,True,True,True,True,True,,,,,,,,,True,True,True,3,True,True,2,,,,,,,,,,,,,,0.00,1,1,quizes,cmdsil8r,,,,,,,,0
14,f1b3urfq,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 15:11:36.188616+00:00,0,1,,,14,,True,True,True,True,True,True,,,,,,,,,True,True,True,3,True,True,2,,,,,,,,,,,,,,0.00,1,1,quizes,cmdsil8r,,,,,,,,0
15,koahqlyi,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 15:11:36.203746+00:00,0,1,,,15,,True,True,True,True,True,True,,,,,,,,,True,True,True,3,True,True,2,,,,,,,,,,,,,,0.00,1,1,quizes,cmdsil8r,,,,,,,,0
16,xcw97003,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 15:11:36.217842+00:00,0,1,,,16,,True,True,True,True,True,True,,,,,,,,,True,True,True,3,True,True,2,,,,,,,,,,,,,,0.00,1,1,quizes,cmdsil8r,,,,,,,,0
