participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.risk_points,player.risk_flip,player.risk_choice,player.risk_payoff,player.amb_chosen_game,player.amb_chosen_ball,player.amb_payoff,player.amb_points,player.amb_choice1_urn,player.amb_choice1_color,player.amb_choice2_urn,player.amb_choice2_color,player.amb_choice3_urn,player.amb_choice3_color,player.amb_choice4_urn,player.amb_choice4_color,player.amb_choice5_urn,player.amb_choice5_color,player.amb_choice6_urn,player.amb_choice6_color,player.amb_choice7_urn,player.amb_choice7_color,player.amb_choice8_urn,player.amb_choice8_color,player.amb_choice9_urn,player.amb_choice9_color,player.amb_choice10_urn,player.amb_choice10_color,player.payoff,group.id_in_subsession,subsession.round_number,subsession.app_label,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,etzpj3qk,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.831193+00:00,0,1,,,1,52.00,0,3,2.60,6,0,5.00,100.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.60,1,1,risk,lz1xgvv5,,,,,,,,0
2,wgopfohq,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.864559+00:00,0,1,,,2,28.00,1,3,1.40,3,0,5.00,100.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.40,1,1,risk,lz1xgvv5,,,,,,,,0
3,514yez7q,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.878839+00:00,0,1,,,3,52.00,0,3,2.60,4,0,5.00,100.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.60,1,1,risk,lz1xgvv5,,,,,,,,0
4,iknk1pni,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.893397+00:00,0,1,,,4,28.00,1,3,1.40,10,1,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40,1,1,risk,lz1xgvv5,,,,,,,,0
5,l1ampa2q,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.907389+00:00,0,1,,,5,28.00,1,3,1.40,3,0,5.00,100.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.40,1,1,risk,lz1xgvv5,,,,,,,,0
6,5zzqoube,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.921323+00:00,0,1,,,6,28.00,1,3,1.40,8,1,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40,1,1,risk,lz1xgvv5,,,,,,,,0
7,nky24b51,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.935937+00:00,0,1,,,7,52.00,0,3,2.60,10,0,5.00,100.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.60,1,1,risk,lz1xgvv5,,,,,,,,0
8,w6257l8e,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.952254+00:00,0,1,,,8,28.00,1,3,1.40,5,1,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40,1,1,risk,lz1xgvv5,,,,,,,,0
9,qh1fa2o7,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.967107+00:00,0,1,,,9,52.00,0,3,2.60,3,0,5.00,100.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.60,1,1,risk,lz1xgvv5,,,,,,,,0
10,wruqiuz0,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.981140+00:00,0,1,,,10,28.00,1,3,1.40,4,1,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40,1,1,risk,lz1xgvv5,,,,,,,,0
11,l74tmp10,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.995316+00:00,0,1,,,11,28.00,1,3,1.40,5,1,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40,1,1,risk,lz1xgvv5,,,,,,,,0
12,yrp8djqs,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:21.009838+00:00,0,1,,,12,28.00,1,3,1.40,4,0,5.00,100.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.40,1,1,risk,lz1xgvv5,,,,,,,,0
