participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.treatment,player.contribution,player.signal,player.round_points,player.payoff,group.id_in_subsession,group.total_contribution,group.individual_share,group.efficiency_rate,subsession.round_number,subsession.app_label,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,etzpj3qk,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.831193+00:00,0,1,,,1,2,4.00,0.95,,0.00,1,15.00,14.25,0.95,1,training,lz1xgvv5,,,,,,,,0
2,wgopfohq,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.864559+00:00,0,1,,,2,2,3.00,0.85,,0.00,1,15.00,14.25,0.95,1,training,lz1xgvv5,,,,,,,,0
3,514yez7q,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.878839+00:00,0,1,,,3,2,8.00,1.05,,0.00,1,15.00,14.25,0.95,1,training,lz1xgvv5,,,,,,,,0
4,iknk1pni,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.893397+00:00,0,1,,,4,2,0.00,1.05,,0.00,1,15.00,14.25,0.95,1,training,lz1xgvv5,,,,,,,,0
5,l1ampa2q,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.907389+00:00,0,1,,,1,2,3.00,1.05,,0.00,2,13.00,12.35,0.95,1,training,lz1xgvv5,,,,,,,,0
6,5zzqoube,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.921323+00:00,0,1,,,2,2,3.00,0.85,,0.00,2,13.00,12.35,0.95,1,training,lz1xgvv5,,,,,,,,0
7,nky24b51,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.935937+00:00,0,1,,,3,2,0.00,0.85,,0.00,2,13.00,12.35,0.95,1,training,lz1xgvv5,,,,,,,,0
8,w6257l8e,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.952254+00:00,0,1,,,4,2,7.00,0.95,,0.00,2,13.00,12.35,0.95,1,training,lz1xgvv5,,,,,,,,0
9,qh1fa2o7,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.967107+00:00,0,1,,,1,2,1.00,0.35,,0.00,3,17.00,4.25,0.25,1,training,lz1xgvv5,,,,,,,,0
10,wruqiuz0,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.981140+00:00,0,1,,,2,2,6.00,0.35,,0.00,3,17.00,4.25,0.25,1,training,lz1xgvv5,,,,,,,,0
11,l74tmp10,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.995316+00:00,0,1,,,3,2,2.00,0.15,,0.00,3,17.00,4.25,0.25,1,training,lz1xgvv5,,,,,,,,0
12,yrp8djqs,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:21.009838+00:00,0,1,,,4,2,8.00,0.25,,0.00,3,17.00,4.25,0.25,1,training,lz1xgvv5,,,,,,,,0
13,5c52obtu,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:21.023664+00:00,0,1,,,1,2,9.00,0.35,,0.00,4,27.00,6.75,0.25,1,training,lz1xgvv5,,,,,,,,0
14,0hc1mhl5,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:21.037759+00:00,0,1,,,2,2,5.00,0.25,,0.00,4,27.00,6.75,0.25,1,training,lz1xgvv5,,,,,,,,0
15,ooptc14a,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:21.052127+00:00,0,1,,,3,2,6.00,0.15,,0.00,4,27.00,6.75,0.25,1,training,lz1xgvv5,,,,,,,,0
16,1tngbfv5,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:21.065750+00:00,0,1,,,4,2,7.00,0.25,,0.00,4,27.00,6.75,0.25,1,training,lz1xgvv5,,,,,,,,0
1,etzpj3qk,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.831193+00:00,0,1,,,1,2,1.00,0.95,,0.00,1,18.00,17.10,0.95,2,training,lz1xgvv5,,,,,,,,0
2,wgopfohq,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.864559+00:00,0,1,,,2,2,4.00,0.85,,0.00,1,18.00,17.10,0.95,2,training,lz1xgvv5,,,,,,,,0
3,514yez7q,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.878839+00:00,0,1,,,3,2,8.00,1.05,,0.00,1,18.00,17.10,0.95,2,training,lz1xgvv5,,,,,,,,0
4,iknk1pni,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.893397+00:00,0,1,,,4,2,5.00,0.95,,0.00,1,18.00,17.10,0.95,2,training,lz1xgvv5,,,,,,,,0
5,l1ampa2q,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.907389+00:00,0,1,,,1,2,4.00,0.55,,0.00,2,29.00,15.95,0.55,2,training,lz1xgvv5,,,,,,,,0
6,5zzqoube,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.921323+00:00,0,1,,,2,2,9.00,0.45,,0.00,2,29.00,15.95,0.55,2,training,lz1xgvv5,,,,,,,,0
7,nky24b51,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.935937+00:00,0,1,,,3,2,9.00,0.55,,0.00,2,29.00,15.95,0.55,2,training,lz1xgvv5,,,,,,,,0
8,w6257l8e,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.952254+00:00,0,1,,,4,2,7.00,0.55,,0.00,2,29.00,15.95,0.55,2,training,lz1xgvv5,,,,,,,,0
9,qh1fa2o7,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.967107+00:00,0,1,,,1,2,7.00,0.55,,0.00,3,18.00,9.90,0.55,2,training,lz1xgvv5,,,,,,,,0
10,wruqiuz0,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.981140+00:00,0,1,,,2,2,0.00,0.65,,0.00,3,18.00,9.90,0.55,2,training,lz1xgvv5,,,,,,,,0
11,l74tmp10,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.995316+00:00,0,1,,,3,2,5.00,0.55,,0.00,3,18.00,9.90,0.55,2,training,lz1xgvv5,,,,,,,,0
12,yrp8djqs,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:21.009838+00:00,0,1,,,4,2,6.00,0.65,,0.00,3,18.00,9.90,0.55,2,training,lz1xgvv5,,,,,,,,0
13,5c52obtu,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:21.023664+00:00,0,1,,,1,2,6.00,0.85,,0.00,4,19.00,18.05,0.95,2,training,lz1xgvv5,,,,,,,,0
14,0hc1mhl5,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:21.037759+00:00,0,1,,,2,2,8.00,0.95,,0.00,4,19.00,18.05,0.95,2,training,lz1xgvv5,,,,,,,,0
15,ooptc14a,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:21.052127+00:00,0,1,,,3,2,3.00,0.85,,0.00,4,19.00,18.05,0.95,2,training,lz1xgvv5,,,,,,,,0
16,1tngbfv5,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:21.065750+00:00,0,1,,,4,2,2.00,0.85,,0.00,4,19.00,18.05,0.95,2,training,lz1xgvv5,,,,,,,,0
1,etzpj3qk,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.831193+00:00,0,1,,,1,2,1.00,0.55,,0.00,1,14.00,7.70,0.55,3,training,lz1xgvv5,,,,,,,,0
2,wgopfohq,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.864559+00:00,0,1,,,2,2,5.00,0.65,,0.00,1,14.00,7.70,0.55,3,training,lz1xgvv5,,,,,,,,0
3,514yez7q,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.878839+00:00,0,1,,,3,2,0.00,0.65,,0.00,1,14.00,7.70,0.55,3,training,lz1xgvv5,,,,,,,,0
4,iknk1pni,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.893397+00:00,0,1,,,4,2,8.00,0.45,,0.00,1,14.00,7.70,0.55,3,training,lz1xgvv5,,,,,,,,0
5,l1ampa2q,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.907389+00:00,0,1,,,1,2,2.00,1.05,,0.00,2,18.00,17.10,0.95,3,training,lz1xgvv5,,,,,,,,0
6,5zzqoube,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.921323+00:00,0,1,,,2,2,3.00,1.05,,0.00,2,18.00,17.10,0.95,3,training,lz1xgvv5,,,,,,,,0
