participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.payoff,group.id_in_subsession,subsession.round_number,subsession.app_label,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,etzpj3qk,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.831193+00:00,0,1,,,1,0.00,1,1,payment_info,lz1xgvv5,,,,,,,,0
2,wgopfohq,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.864559+00:00,0,1,,,2,0.00,1,1,payment_info,lz1xgvv5,,,,,,,,0
3,514yez7q,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.878839+00:00,0,1,,,3,0.00,1,1,payment_info,lz1xgvv5,,,,,,,,0
4,iknk1pni,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.893397+00:00,0,1,,,4,0.00,1,1,payment_info,lz1xgvv5,,,,,,,,0
5,l1ampa2q,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.907389+00:00,0,1,,,5,0.00,1,1,payment_info,lz1xgvv5,,,,,,,,0
6,5zzqoube,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.921323+00:00,0,1,,,6,0.00,1,1,payment_info,lz1xgvv5,,,,,,,,0
7,nky24b51,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.935937+00:00,0,1,,,7,0.00,1,1,payment_info,lz1xgvv5,,,,,,,,0
8,w6257l8e,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.952254+00:00,0,1,,,8,0.00,1,1,payment_info,lz1xgvv5,,,,,,,,0
9,qh1fa2o7,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.967107+00:00,0,1,,,9,0.00,1,1,payment_info,lz1xgvv5,,,,,,,,0
10,wruqiuz0,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.981140+00:00,0,1,,,10,0.00,1,1,payment_info,lz1xgvv5,,,,,,,,0
11,l74tmp10,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:20.995316+00:00,0,1,,,11,0.00,1,1,payment_info,lz1xgvv5,,,,,,,,0
12,yrp8djqs,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:21.009838+00:00,0,1,,,12,0.00,1,1,payment_info,lz1xgvv5,,,,,,,,0
13,5c52obtu,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:21.023664+00:00,0,1,,,13,0.00,1,1,payment_info,lz1xgvv5,,,,,,,,0
14,0hc1mhl5,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:21.037759+00:00,0,1,,,14,0.00,1,1,payment_info,lz1xgvv5,,,,,,,,0
15,ooptc14a,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:21.052127+00:00,0,1,,,15,0.00,1,1,payment_info,lz1xgvv5,,,,,,,,0
16,1tngbfv5,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 14:48:21.065750+00:00,0,1,,,16,0.00,1,1,payment_info,lz1xgvv5,,,,,,,,0
